review_content,rating,source,date
Great value for money. Food was still fresh and delicious,5,Google,2021-12-29
occasionally a surprise bag is offered after the establishment is already closed.,4,Google,2021-12-29
"Well-designed app except they really need to add a pickup time filter. Merchant experience: Great for getting baked goods from coffee shops (muffins, bagels, croissants, etc.) but you have to wait until late afternoon or later. You spent $5 gets to get a bag of 4 items. So far the full meals (2 out of 2) haven't been great though.",5,Google,2021-12-29
"Thanks for the reply! It makes sense to not notify all users about a new bag, that's true. Unfortunately I didn't get any response on my email whatsoever about the failing payment. It still does not work.",1,Google,2021-12-29
A good buy will definitely use again,5,Google,2021-12-29
only app I get check constantly.,4,Google,2021-12-29
"Only used it once. Some of the food I collected was mouldy and unfit for consumption. I received a full refund, but have not used the app since.",3,Google,2021-12-29
great app.only ever had great surprises on this app.some of the best bakeries/restaurants are available! neat:),5,Google,2021-12-29
"Great mission! Just have reasonable expectations. Some vendors will give foods that are not worth the deal they claimed, but some give a great deal. If you can tolerate / experiment with varying results, it's a great app with an awesome mission to reduce food waste.",5,Google,2021-12-29
"Great value, surprise fun, easy, fast inexpensive.",5,Google,2021-12-28
Fab app!!,5,Google,2021-12-28
App looks great. Helpdesk could be a lot better and the app is easy to use.,2,Google,2021-12-28
"Done last minute and very surprise at the amount we was given, friendly staff good portion sizes, can't fault, try it, won't be disappointed, hey the guy before us took x12, yes 12 so can't be that bad. :)",5,Google,2021-12-28
Amazing! Wish I had known years ago. An abundance of food!,5,Google,2021-12-28
amazing,5,Google,2021-12-28
it's an amazing app I wish I would have discovered earlier.,5,Google,2021-12-28
Got food today dated 14th Dec fruit was going off had to throw things away very disappointed only yoghurt got yesterday's date on won't use this app again 😕,1,Google,2021-12-28
"So easy to use, pretty, clear, and an amazing concept. I'm saving a fortune and also getting to feel eco-smug 😁",5,Google,2021-12-28
"Very disappointing and unreliable app. This is the 3rd time im experiencing that the restaurant has no food to give, although i have already paid and asked for my food bag within the pick up time. Plus, the customer cannot cancel the order within the pickup time while the restaurant can. This means that you go to collect your food by your own means amid the risk of receiving nothing. Super unfair. I am no longer using toogoodtogo. Sorry but your business needs a lot of improvement.",1,Google,2021-12-28
"This is a great app for value food. Admittedly where I live there aren't so many shops that are close, but there are enough that I can use this app every now and again for some treats. Pretty much all the bags I've had from shops have been good, and some have been fantastic. If you have a problem their support team is also really good. Solid app, recommended. 👍🏻👍🏻",5,Google,2021-12-28
The idea is great and I support it. App working with out any issues.,5,Google,2021-12-28
"Update to a previous glowing review, had a couple terrible experiences similar to other reviewers who said they bought from places trying to use this as a way to sell stale food at near retail pricing. Great concept if you live in a big city with plenty of shops that buy into this to choose from, but if you're in the suburbs don't expect much. Definitely agree with the 5 star concept, 3 star execution I read in another review.",3,Google,2021-12-28
Excellent value for money. Super easy to order with a delicious meal still piping hot to eat in the comfort of your home.,5,Google,2021-12-28
A great effort for helping reduce waste for the business and consumer. Please tell EVERYONE about this app,5,Google,2021-12-28
Not available in Canada? has no stores located in Ontario! At least where I live in Sudbury,1,Google,2021-12-28
excellent app.,4,Google,2021-12-27
very good a chat,5,Google,2021-12-27
Love it!,5,Google,2021-12-27
"Just had our second box, amazing value. All great stuff",5,Google,2021-12-27
Great,5,Google,2021-12-27
"Great idea, great prices for what you get, and easy to use app. Just need to implement useful notifications: I want to know when one of my favorites lists something instead of having to go to the app to check just in case. Especially important for shops that don't regularly sell on here (but you want to know when they do). Five stars if that's implemented. I also want to see my favorites on the map, please add favourites as a filter.",4,Google,2021-12-27
"Hit or miss, not many places available yet but overall a good experience so far.",4,Google,2021-12-27
Absolutely fantastic idea! I loved my magic box excellent Value x,5,Google,2021-12-27
"Good concept. Poor execution. Lack of user feedback, the reviews for restaurants and other clients are kept hidden from the user. Restaurants are not aware of the app upon arrival. I'd request more transparency for the users and make the reviews public.",2,Google,2021-12-27
Fab site for saving food and money.,5,Google,2021-12-27
good experience and glad I could save money and help with food wastage,5,Google,2021-12-26
So far so good. Two meals for the quid!,5,Google,2021-12-26
The idea is great but the lack of indications about diatery options on a package makes it unfriendly for vegans or diabetes.,3,Google,2021-12-26
Treats employees like absolute dogshit. Abusive practices and green washing.,1,Google,2021-12-25
"Great app, saving money saving food waste can't go wrong",5,Google,2021-12-25
"This services uses magic links which is a VERY insecure way of account verification. In simple terms, your account can very easily be comprised leading to data loss. Avoid providing any real data on this app, and never provide them any payment information.",1,Google,2021-12-25
"Good value, great service, lovely staff",5,Google,2021-12-25
the person or people who ever got this app off the ground and managed to get all these stars involved stop all this wastage of food good on you good job,5,Google,2021-12-25
didn't think I would ever use this app but I see the appeal now and it is for a great cause.,5,Google,2021-12-24
Nice,5,Google,2021-12-24
"It's a great idea. But all too often it doesn't send notifications. I think this is sometimes because the shops have control over this function. I've arrived at 17:00 collection only to be told I'm too early. Then watched the time change on the app, 5 minutes later to another later time. Today's went earlier, again no notice, same shop. So no bag and no refund. Last time I use this app. Complaints are handled by an unfeeling, inflexible Bot. So no chance of getting any justice either.",2,Google,2021-12-24
brilliant value for money,5,Google,2021-12-24
I have been using toogoodtogo for a long time now because it allows you to buy good quality food for less! It also allows me to try out food I have never tried before,5,Google,2021-12-24
"I've made a reservation to collect via the app and was given the 30 minutes windows from 5pm. The shop closed at 4pm, and I was given no notice of refund or cancellation.",1,Google,2021-12-24
Great value excellent choice of food,5,Google,2021-12-24
very friendly crew,5,Google,2021-12-24
Amazing value. All fresh products.,5,Google,2021-12-24
great service and great offers,5,Google,2021-12-24
it give you the option to get delirium food that would otherwise go to waist,5,Google,2021-12-24
"I used this app the first time this evening, was recommended by a friend & thought I'd give it a go. Simply put a number of shops have food at the end of the day they sell for cheap, rather than throw away. I picked a local Caribbean takeaway, paid noted I had to bring containers (not always required). When you request a ""bag"" you don't know exactly what you going to get.. however its always more than you a actually paid. so either way its a very good win.",5,Google,2021-12-24
"great idea, lots of food for your money, stops food waste",5,Google,2021-12-23
great site,5,Google,2021-12-23
"Very pleased with my first magic bag. staff showed me how to use my phone ,to collect the order. I will definitely try another magic bag.",5,Google,2021-12-23
great coffee and professional staff in a relaxing airy space!,5,Google,2021-12-23
"love this app, so easy to use, and makes me feel like I'm doing my bit extra",5,Google,2021-12-23
4.5 stars. Great app and idea. Eco heaven! My only beef? The app doesn't have a good method to alert last-minute buyers via a real-time countdown that their window to buy is ending.,4,Google,2021-12-23
Great way of saving food from going to waste and really good value for money.,5,Google,2021-12-23
excellent value for money,5,Google,2021-12-23
👍🏻👍🏻,5,Google,2021-12-23
not bad,5,Google,2021-12-23
"It's great app when it's dinner time, you're hungry and lazy to cook.",5,Google,2021-12-23
Great app!,5,Google,2021-12-23
Shows deals in Favourites which have already sold out.,3,Google,2021-12-23
absolutely brilliant value for money - superb customer service gentleman even carried boxes to the car . super quick service and delicious products,5,Google,2021-12-23
"Great idea, great meals, great prices",5,Google,2021-12-23
"Amazing app, totally recommend everyone to try it and use it, because you can get good food for low prices and it helps your pocket and the community too!",5,Google,2021-12-23
Me encanta el concepto y por eso me da aun mas pena no poder usarlo en la gran mayoria de los casos dado que soy celíaca y en la mayor parte de los casos imposible saber los alérgenos antes de comprar algo,1,Google,2021-12-22
great experience.,5,Google,2021-12-22
"sometimes great, sometimes not so good. fyn though.",3,Google,2021-12-22
Highly recommend. Best salad I've had from the high Street in a very long time. Try and and you would go back for more. :),5,Google,2021-12-22
Good value,4,Google,2021-12-22
Terrible keeps reversing payments.,1,Google,2021-12-22
Good value,4,Google,2021-12-22
why not get a cheap takeout. just be thrown otherwise.,5,Google,2021-12-22
"Great innovation, great service and app! A must have for someone who want to act for reducing waste and save some money in the process.",5,Google,2021-12-22
nice selection. tasty,5,Google,2021-12-22
i think this a good idea so theres no food to waste..,5,Google,2021-12-22
Definitely a must to good to go!,5,Google,2021-12-22
I wish I could receive an alert when my favorite stores put online some baskets,5,Google,2021-12-22
"great way of saving food from being wasted, saving planet little by little",5,Google,2021-12-22
Awful keeps saying GPS not enabled but it is. I can not get further than the GPS page to see what's available.,1,Google,2021-12-22
Great value if u like alot of different foods. if ur fussy there not that good,5,Google,2021-12-22
for people who work away from home on a nightshift. it's a fantastic app. it's difficult to eat sensibly living out a hotel room. great value. plus beggars can't be choosers.,5,Google,2021-12-21
very good value for money good variety. will use more regularly,5,Google,2021-12-21
Not available in most of the country. Can only be used in a few major cities,3,Google,2021-12-21
"Excellent value for money, delicious food and quick collection",5,Google,2021-12-21
Great food bags for amounts paid,5,Google,2021-12-21
love this app!!,5,Google,2021-12-21
Great value and saving food from landfill,5,Google,2021-12-21
first buy experience was great,5,Google,2021-12-21
Good initiative.,4,Google,2021-12-21
"It depends on the restaurant really. Sometimes you get great value for the price, other times you get a bit of dried out pasta and undercooked rice. I just wish we could see what other people have written about the stores.",4,Google,2021-12-21
"All items were delivered fresh and all are Very delicious, all of these are good for this holiday season. It's ideal & worth buying them.",5,Google,2021-12-21
wonderful app saving food in a throw away wasteful world what more could you ask for everyone and every business should being doing this,5,Google,2021-12-21
"Good ideea, bad execution. A bag reservation should be a 100% chance you get a bag, not first come first served thing",1,Google,2021-12-21
"Waarom hebben jullie 10 WERKDAGEN om mijn betaling terug te storten??? Ik heb iets gisteravond besteld, het moet meteen betaald worden, door de winkel plotseling net geannuleerd en ik moet op mijn geld 10 dagen wachten??? Kom op zeg, waardeloos",1,Google,2021-12-21
love this app,5,Google,2021-12-21
Good value for money and the staff are friendly!,5,Google,2021-12-21
"fantastic service, and good food, value for the money",5,Google,2021-12-20
Excellent app,5,Google,2021-12-20
"Great app. What a great way to, not only help save the environment but people's pockets too! No need for negative comments about the contents of bags etc. Staff cannot be expected to upload all this info and offer at such a discounted price. It's luck of the draw what you get, that's one of the upshots for me. Been using a few weeks and my only niggle is that bags sell so quick! That can't be a bad thing.",5,Google,2021-12-20
excellent service and value,5,Google,2021-12-20
Its completely pot luck what you get but great value for money. It can be a little amusing sometimes when you see someone tucking into the same £6 sandwich when you walk through the door and you have got a magic bag that has 3 of them plus a muffin for £3.49.,5,Google,2021-12-20
"Super app, works well where there are more companies taking part.",5,Google,2021-12-20
awesome app,5,Google,2021-12-20
Great app. Easy to use,5,Google,2021-12-20
"Easy to use, great concept",5,Google,2021-12-20
"Everything sells out the night before, it's just a free advertising platform for Gregg's and spar.",2,Google,2021-12-20
Please add vegetarians box option.,3,Google,2021-12-20
Location finder and search button do not work therefore can not search for anything.,1,Google,2021-12-20
5 * need I say more!? 😃,5,Google,2021-12-20
"pretty cool concept, so far it's worked for me. I've yet to get something I don't like.",5,Google,2021-12-20
Zahlen mit Karte funktioniert nicht,1,Google,2021-12-20
No way to offer app suggestions or talk to anyone. Entire app and website mysteriously has no email info or other communication channel.,1,Google,2021-12-20
fab value. friendly staff,5,Google,2021-12-19
"AMAZING app to find great food for a fabulous price, and help against food waste! Some cities have more options than others so I'm looking forward to this expanding.",5,Google,2021-12-19
Fantastic food and friendly staff,5,Google,2021-12-19
stop wasting food..,5,Google,2021-12-19
superb idea of reducing food waste. everyone should part take.,5,Google,2021-12-19
it was good with plenty of food,5,Google,2021-12-19
I like this app as it cheap food and you help the restaurant and good food the app is seat up for easy use,1,Google,2021-12-19
Paid for a meal at a carvery pub was told to collect at 19.45. Venue made me wait till 20.15 then informed me no food available!,1,Google,2021-12-19
Email to enable app never arrived. How the *&^%$#@ am I meant to use it????,1,Google,2021-12-19
What a fantastic app. Really great way to stop food waste and to help those who may need a boost before payday.,5,Google,2021-12-19
"Great food, good variety and excellent value",5,Google,2021-12-19
"Waste of time. The one time I saw food available, and set up the order, the petrol station cancelled. After saying they had food available, they decided they didn't. Ridiculous.",1,Google,2021-12-19
I love this app and I love the restaurants that are participating in it. It's getting me exploring lots of new restaurants affordably.,5,Google,2021-12-19
"This app is one of the greatest ones I have ever used. An absolute MUST HAVE for artists, musicians, families, and/or the working poor. Connects people with food and the opportunity to try restaurants that would otherwise be out of budget. Saves time, solves food waste issues, and connects people, small businesses, and communities. I can't speak highly enough about this app and how it has improved my food situation and introduced me to new places in a city I thought I knew well!",5,Google,2021-12-19
"I love this app, it's so crucial to those of us experiencing food insecurity!",5,Google,2021-12-19
I love this app! It is a really good idea!,5,Google,2021-12-19
1st time. experience . Great friendly staff good value for what you pay 👏,5,Google,2021-12-18
"great, helpful people, willing to work with my allergies, excellent food. The cakes are beautiful, tasty, and not cloyingly sweet and my social group will be getting them often. it's our new favorite bakery!",5,Google,2021-12-18
Seems more like a shopping app. I'm pretty sure back when it started there was free food that was going to be thrown away but now it's more like the advertise £8 mystery bags of food. Not really sure this is in the spirit of 'too good to go' because at that point you're just shopping.,3,Google,2021-12-18
"Brilliant app, had lots of great food at amazing prices and stopped food going to waste",5,Google,2021-12-18
I loved the selection of the food taste was beautiful,5,Google,2021-12-18
Really nice dish - large piece of chicken and sauce was great. Nicely flavoured rice. Nice sized portion.,4,Google,2021-12-18
"Great value, eat out for cheap, fun experience!",5,Google,2021-12-18
Prevent food waste and get good deals!,5,Google,2021-12-18
"Waste of time. Purchased magic bag, turned up to the store at the right time to be told there were no bags avaliable. (even though there were still advertising more bags on app!) Told I'd have to go on the app for a refund but there is no refund request on the app. Wasted more time emailing customer services. This app is marketing towards buying a surprise bag to save the world of food waste but its fraud if you purchase something that turns out to not even exist. Shouldn't be allowed to trade",1,Google,2021-12-18
"great value , easy pickup",5,Google,2021-12-18
